448,8
848,8
1248,0
2048,8
2448,0
2848,8
3648,0
4048,8
4448,0
4848,8
5248,0
6048,0
6848,8
7248,8
7648,0
8448,8
8848,0
9248,8
10048,0
10448,8
10848,0
11248,8
11648,0
12448,0
13248,8
13648,0
14048,8
14248,0
14448,8
14848,8
15248,0
15648,8
15848,8
16048,0
16448,8
16848,0
17248,8
17448,0
17648,8
18048,8
18448,0
18848,0
19048,0
19248,8
19448,0
19648,8
20048,0
20448,8
20648,8
20848,0
21248,8
21648,0
22048,0
22248,8
22448,0
22848,8
23248,0
23648,8
23848,8
24048,0
24448,8
24848,0
25048,0
25248,8
25648,0
26048,8
26848,8
27448,0
27648,8
28048,8
28248,8
28448,0
28848,8
29248,0
30048,0
30648,8
30848,8
31248,8
31448,0
31648,8
32048,8
32448,0
33248,0
33648,8
34048,0
34248,0
34448,8
34848,0
35248,0
35448,8
35648,8
36448,0
36848,8
37248,0
37848,8
38048,0
38448,8
38848,0
39648,8
40248,0
40448,8
40848,0
41048,8
41248,0
41648,8
42048,0
42848,0
43448,8
43648,0
44048,8
44248,8
44448,0
44848,8
45248,0
46048,0
46448,8
46848,0
47048,8
47248,8
47648,8
48048,0
48248,0
48448,8
49248,0
49648,8
50048,0
50648,8
50848,0
51448,0
51648,8
52048,0
52448,8
52848,0
53248,8
53448,8
53648,0
54048,0
54448,8
54848,0
55048,8
55248,0
55648,8
56048,8
56448,0
57048,8
57248,0
58048,8
58448,0
58848,8
59248,0
59648,8
60048,8
60248,0
60448,8
60848,0
61248,8
61648,8
61848,8
62048,0
62448,8
62848,0
63248,0
63648,0
64448,8
64848,0
65248,8
65448,8
65648,0
65848,0
66048,8
66448,0
66648,8
66848,0
67248,8
67648,0
68048,8
68248,0
68448,0
68848,8
69248,8
69448,0
69648,8
69848,8
70048,0
70448,8
70848,0
71248,8
71448,8
71648,0
71848,8
72048,0
72448,8
72848,8
73048,0
73248,8
73648,8
74048,0
74448,8
74648,8
74848,0
75248,8
75648,8
76048,0
76248,8
76448,0
77248,8
77648,0
78048,8
78248,0
78448,0
78648,0
78848,8
79248,0
79448,0
79648,8
80048,8
80448,0
80848,8
81048,8
81248,0
81648,8
82048,8
82248,8
82448,0
82648,8
82848,0
83248,8
83648,0
84048,8
84248,0
84448,8
84648,8
84848,0
85248,8
85648,0
85848,8
86048,8
86448,8
86848,0
87248,8
87448,0
87648,0
88048,8
88448,8
88848,0
89048,8
89248,0
90048,8
90448,0
90648,0
90848,8
91048,0
91248,8
91648,0
92048,8
92248,8
92448,0
92848,8
93248,0
93648,8
94048,0
94248,0
94448,8
94648,8
94848,0
95248,8
95648,0
96048,8
96248,8
96448,0
96848,8
97248,0
97448,8
97648,0
98048,8
98448,0
98848,8
99048,8
99248,0
99448,0
99648,8
100048,0
100448,0
100648,8
100848,0
101248,8
101648,0
101848,0
102048,8
102448,0
102848,8
